ID	RA	e_RA	DEC	e_DEC	Sint	e_Sint	Spk	e_Spk	MAJAX	e_MAJAX	MINAX	e_MINAX	PA	e_PA	Island_RMS	S_Code	Mosaic_Name
J104839.8+523912	162.16603	2.2	52.65336	2.3	26.1	4.1	23.0	3.0	28.2	2.5	25.1	2.0	14.9	32.9	1.9	S	R33D65
J105226.9+524544	163.11227	2.9	52.76237	2.9	50.7	5.9	21.5	3.1	52.7	6.5	28.0	2.3	42.4	8.0	2.2	S	R34D65
J105307.6+523330	163.28207	2.0	52.55861	2.0	209.3	21.2	131.6	13.3	37.3	0.7	26.7	0.4	4.8	1.0	2.0	S	R34D65
J104747.3+525207	161.94725	2.0	52.86876	2.0	468.1	47.1	396.8	39.7	28.0	0.2	26.3	0.1	72.1	3.7	2.0	M	R33D65
J104707.8+524721	161.7825	2.0	52.78922	2.0	120.0	12.5	105.6	10.7	27.1	0.5	26.2	0.5	24.2	26.1	2.0	S	R33D65
J104602.1+524548	161.5089	2.4	52.76354	2.5	26.2	4.2	18.6	2.8	31.5	3.7	27.9	2.9	-33.7	40.7	1.9	C	R33D65
J104559.2+524526	161.49675	2.1	52.75742	2.2	35.6	4.9	29.5	3.6	28.0	1.9	27.0	1.8	9.3	78.8	1.9	C	R33D65
J104411.9+524445	161.04994	2.1	52.74603	2.1	39.4	5.1	34.0	3.9	28.0	1.7	25.9	1.4	46.6	32.2	1.9	S	R33D65
J104418.5+524048	161.07747	2.1	52.68006	2.1	205.5	20.9	71.2	7.4	51.2	1.9	38.5	1.2	-40.1	5.9	1.9	M	R33D65
J104414.0+524027	161.05846	2.1	52.67434	2.0	100.0	10.9	61.3	6.4	36.3	1.5	24.1	0.7	2.9	4.1	1.9	M	R33D65
J104743.9+522827	161.93309	2.0	52.47434	2.0	128.2	13.2	123.4	12.5	25.9	0.4	25.1	0.4	-26.6	20.2	1.8	S	R33D64
J104717.5+523222	161.82297	2.3	52.53949	2.4	32.1	4.4	22.6	3.0	34.6	3.4	25.7	2.0	37.2	15.3	1.9	S	R33D65
J104813.8+522517	162.05754	2.0	52.42146	2.0	183.4	18.8	99.3	10.1	38.9	1.0	24.4	0.4	-43.1	2.3	1.8	M	R33D64
J104609.1+522954	161.53819	2.0	52.49844	2.0	141.3	14.5	110.9	11.3	29.8	0.5	26.7	0.4	-49.6	8.0	1.8	S	R33D65
J104610.4+522839	161.54366	2.0	52.4777	2.0	72.9	7.9	62.5	6.5	27.9	0.9	26.2	0.8	-5.5	21.4	1.8	S	R33D65
J104623.4+522755	161.59785	2.6	52.46553	3.3	24.1	3.7	13.6	2.4	38.9	6.2	28.5	3.6	-10.4	23.4	1.8	S	R33D65
J104441.4+522654	161.17276	2.2	52.44838	2.1	44.3	5.3	31.8	3.7	31.2	2.0	27.9	1.6	68.4	23.5	1.8	S	R33D65
J104639.4+522304	161.66434	2.0	52.38468	2.0	190.1	19.2	114.7	11.6	37.2	0.7	27.8	0.4	10.0	2.1	1.8	S	R33D64
J104540.6+522247	161.41924	2.2	52.37977	2.3	33.7	4.5	23.1	3.0	32.9	2.9	27.7	2.2	-17.0	23.1	1.8	S	R33D65
J104602.0+521453	161.50864	2.6	52.24828	2.5	31.1	4.2	18.2	2.6	39.0	4.6	27.3	2.5	51.8	13.5	1.8	S	R33D64
J104454.7+522015	161.22818	2.1	52.33764	2.2	40.8	5.0	29.2	3.5	30.7	2.0	28.5	1.8	18.0	39.0	1.8	S	R33D65
